violated_constraints,total_constraints
53481,202575
48418,202575
48506,202575
51835,202575
50707,202575
48533,202575
49489,202575
48761,202575
48525,202575
50605,202575
48520,202575
49658,202575
52767,202575
49659,202575
51988,202575
55024,202575
48498,202575
48668,202575
48558,202575
53532,202575
49943,202575
48542,202575
48613,202575
49722,202575
51656,202575
53001,202575
48743,202575
48571,202575
48651,202575
50038,202575
48709,202575
48557,202575
48611,202575
48465,202575
49231,202575
48657,202575
50708,202575
50654,202575
49912,202575
54825,202575
49010,202575
48534,202575
48636,202575
49130,202575
52153,202575
48602,202575
49901,202575
52436,202575
53017,202575
50216,202575
54132,202575
49908,202575
51286,202575
48875,202575
51563,202575
54128,202575
50328,202575
51676,202575
48662,202575
52043,202575
49993,202575
54936,202575
49913,202575
49877,202575
48529,202575
52456,202575
48648,202575
53246,202575
48619,202575
53502,202575
49972,202575
48887,202575
49663,202575
50670,202575
52921,202575
52453,202575
48531,202575
48517,202575
48481,202575
49679,202575
50130,202575
48888,202575
50445,202575
49653,202575
54767,202575
48488,202575
48463,202575
50459,202575
55125,202575
50805,202575
48467,202575
51392,202575
54823,202575
48499,202575
48462,202575
48635,202575
51028,202575
48822,202575
48408,202575
48670,202575
50203,202575
48619,202575
54050,202575
48708,202575
50993,202575
48503,202575
52185,202575
53446,202575
50087,202575
52891,202575
49469,202575
50130,202575
49368,202575
49344,202575
53447,202575
54902,202575
48644,202575
48484,202575
48634,202575
49904,202575
51973,202575
51624,202575
52988,202575
48617,202575
53967,202575
52478,202575
48618,202575
48823,202575
55204,202575
48996,202575
48651,202575
54837,202575
48722,202575
52781,202575
48480,202575
49660,202575
48536,202575
52404,202575
48603,202575
48547,202575
52191,202575
50837,202575
50342,202575
48589,202575
53045,202575
55127,202575
52674,202575
48648,202575
48519,202575
48541,202575
51029,202575
48893,202575
49305,202575
48438,202575
48620,202575
51267,202575
49419,202575
48509,202575
53245,202575
51135,202575
49243,202575
49368,202575
48889,202575
48542,202575
49990,202575
48403,202575
54391,202575
52558,202575
54891,202575
48635,202575
48534,202575
49906,202575
50630,202575
48877,202575
49187,202575
50210,202575
54131,202575
50007,202575
48671,202575
50035,202575
48622,202575
54441,202575
51723,202575
51012,202575
48628,202575
48417,202575
48727,202575
49910,202575
49239,202575
51615,202575
52547,202575
50205,202575
50094,202575
48522,202575
48739,202575
49013,202575
50079,202575
50074,202575
51164,202575
51685,202575
50085,202575
49366,202575
49553,202575
48478,202575
53845,202575
49013,202575
48754,202575
48541,202575
52104,202575
54824,202575
49869,202575
51123,202575
49675,202575
51342,202575
49909,202575
53281,202575
48710,202575
48561,202575
49662,202575
48929,202575
49913,202575
52404,202575
49865,202575
48447,202575
50649,202575
51976,202575
53452,202575
50710,202575
49864,202575
49129,202575
48808,202575
51734,202575
51715,202575
48634,202575
48942,202575
51627,202575
51761,202575
48661,202575
53938,202575
48802,202575
50703,202575
48519,202575
48572,202575
51150,202575
51623,202575
51230,202575
51755,202575
54816,202575
52671,202575
48827,202575
51143,202575
52333,202575
48831,202575
50371,202575
51213,202575
49684,202575
50452,202575
49677,202575
52070,202575
52551,202575
49910,202575
52787,202575
48657,202575
48566,202575
52529,202575
51401,202575
51758,202575
48438,202575
49371,202575
49217,202575
50996,202575
48551,202575
48566,202575
52228,202575
48623,202575
49368,202575
50585,202575
49654,202575
54457,202575
51018,202575
50326,202575
49728,202575
54680,202575
118879,485100
117808,485100
114310,485100
118569,485100
114040,485100
117561,485100
114767,485100
118533,485100
122458,485100
121093,485100
119658,485100
119989,485100
116292,485100
119135,485100
114322,485100
114835,485100
118802,485100
119161,485100
114483,485100
117831,485100
118619,485100
118790,485100
114098,485100
115125,485100
118818,485100
115622,485100
117019,485100
118790,485100
116350,485100
116798,485100
118833,485100
114399,485100
119852,485100
118736,485100
118844,485100
119681,485100
118503,485100
120090,485100
118908,485100
117104,485100
114086,485100
123187,485100
115972,485100
115772,485100
116861,485100
118705,485100
118157,485100
118606,485100
114247,485100
118892,485100
114090,485100
114812,485100
119039,485100
117003,485100
118888,485100
116648,485100
117273,485100
117793,485100
122339,485100
117053,485100
119145,485100
114087,485100
118823,485100
118894,485100
121002,485100
114891,485100
118939,485100
118673,485100
119151,485100
114297,485100
114842,485100
118864,485100
122397,485100
118506,485100
116981,485100
119084,485100
119297,485100
114969,485100
115754,485100
116766,485100
119564,485100
114109,485100
117512,485100
114156,485100
116495,485100
115647,485100
118687,485100
114777,485100
115450,485100
119285,485100
119132,485100
116423,485100
118549,485100
114469,485100
114415,485100
118411,485100
118774,485100
114332,485100
119464,485100
120053,485100
119544,485100
115577,485100
118770,485100
122021,485100
118884,485100
114379,485100
114900,485100
118859,485100
118699,485100
114791,485100
115497,485100
114408,485100
115973,485100
118637,485100
118568,485100
117057,485100
114101,485100
117563,485100
118611,485100
119114,485100
118934,485100
115987,485100
116799,485100
118724,485100
115403,485100
119282,485100
118117,485100
118694,485100
121711,485100
117007,485100
119274,485100
114949,485100
117177,485100
114132,485100
118705,485100
115447,485100
117559,485100
118339,485100
114587,485100
115306,485100
118661,485100
118690,485100
115885,485100
118896,485100
118720,485100
117523,485100
114354,485100
115865,485100
115754,485100
119223,485100
118754,485100
120027,485100
118159,485100
118847,485100
118653,485100
114926,485100
118659,485100
116823,485100
119163,485100
118794,485100
120305,485100
118419,485100
114963,485100
114766,485100
119053,485100
119129,485100
119230,485100
114129,485100
118993,485100
116504,485100
118509,485100
118700,485100
118942,485100
114907,485100
114105,485100
118634,485100
117498,485100
117641,485100
116023,485100
114416,485100
118811,485100
117563,485100
116040,485100
114071,485100
114300,485100
117136,485100
118625,485100
116441,485100
120084,485100
115710,485100
119127,485100
115524,485100
114001,485100
117074,485100
118003,485100
119051,485100
118676,485100
118525,485100
114415,485100
119408,485100
118527,485100
117643,485100
118463,485100
116949,485100
115248,485100
120997,485100
117051,485100
118730,485100
115917,485100
118926,485100
117567,485100
118620,485100
116022,485100
117662,485100
117215,485100
118843,485100
115362,485100
117538,485100
117996,485100
118622,485100
118877,485100
114995,485100
119558,485100
114579,485100
115433,485100
118638,485100
117086,485100
119300,485100
116070,485100
118773,485100
118695,485100
114581,485100
115955,485100
116290,485100
122497,485100
114103,485100
118592,485100
123250,485100
115365,485100
