dataset,embedding_dim,epsilon,contaminated_percentage,train_test_split_rate,error,violated_constraints,use_additive_weights
RANDOM_DATASET,1,0.1111111111111111,0.0,0.3,0.024740227610094014,13025,False
RANDOM_DATASET,2,0.1111111111111111,0.0,0.3,0.023585683654956294,12998,False
RANDOM_DATASET,1,0.1111111111111111,0.0,0.3,0.02594810379241517,13049,True
RANDOM_DATASET,2,0.1111111111111111,0.0,0.3,0.025781769793745843,13029,True
RANDOM_DATASET,1,0.1111111111111111,0.0,0.3,0.034100453552830506,13209,False
RANDOM_DATASET,2,0.1111111111111111,0.0,0.3,0.03275659331429531,13180,False
RANDOM_DATASET,1,0.1111111111111111,0.0,0.3,0.024471449975029133,13214,True
RANDOM_DATASET,2,0.1111111111111111,0.0,0.3,0.024471449975029133,13199,True
RANDOM_DATASET,1,0.1111111111111111,0.0,0.3,0.0333889816360601,13269,False
RANDOM_DATASET,2,0.1111111111111111,0.0,0.3,0.0328881469115192,13246,False
RANDOM_DATASET,1,0.1111111111111111,0.0,0.3,0.03219917012448133,12710,True
RANDOM_DATASET,2,0.1111111111111111,0.0,0.3,0.03153526970954357,12669,True
RANDOM_DATASET,1,0.1111111111111111,0.0,0.3,0.03827429914386436,13066,False
RANDOM_DATASET,2,0.1111111111111111,0.0,0.3,0.03743495047842874,13035,False
RANDOM_DATASET,1,0.1111111111111111,0.0,0.3,0.02570996471181314,13136,True
RANDOM_DATASET,2,0.1111111111111111,0.0,0.3,0.02486976978659049,13110,True
RANDOM_DATASET,1,0.1111111111111111,0.0,0.3,0.03830779480346436,12827,False
RANDOM_DATASET,2,0.1111111111111111,0.0,0.3,0.0379746835443038,12793,False
RANDOM_DATASET,1,0.1111111111111111,0.1,0.3,0.0415,12777,True
RANDOM_DATASET,2,0.1111111111111111,0.1,0.3,0.0405,12748,True
RANDOM_DATASET,1,0.1111111111111111,0.1,0.3,0.026085493099966342,13211,False
RANDOM_DATASET,2,0.1111111111111111,0.1,0.3,0.02541231908448334,13191,False
RANDOM_DATASET,1,0.1111111111111111,0.1,0.3,0.035251080811439975,13035,True
RANDOM_DATASET,2,0.1111111111111111,0.1,0.3,0.03441968739607582,13000,True
RANDOM_DATASET,1,0.1111111111111111,0.1,0.3,0.0336870473303015,12856,False
RANDOM_DATASET,2,0.1111111111111111,0.1,0.3,0.033518612093649994,12829,False
RANDOM_DATASET,1,0.1111111111111111,0.1,0.3,0.03440895620678301,12873,True
RANDOM_DATASET,2,0.1111111111111111,0.1,0.3,0.03358577543628581,12838,True
RANDOM_DATASET,1,0.1111111111111111,0.1,0.3,0.03130755064456722,13240,False
RANDOM_DATASET,2,0.1111111111111111,0.1,0.3,0.030135610246107485,13211,False
RANDOM_DATASET,1,0.1111111111111111,0.1,0.3,0.023888520238885203,13194,True
RANDOM_DATASET,2,0.1111111111111111,0.1,0.3,0.02339084273390843,13177,True
RANDOM_DATASET,1,0.1111111111111111,0.1,0.3,0.03284795123603115,12960,False
RANDOM_DATASET,2,0.1111111111111111,0.1,0.3,0.03267863189976295,12928,False
RANDOM_DATASET,1,0.1111111111111111,0.1,0.3,0.030797403029798567,13032,True
RANDOM_DATASET,2,0.1111111111111111,0.1,0.3,0.03096387547860829,13013,True
RANDOM_DATASET,1,0.1111111111111111,0.1,0.3,0.0225752508361204,12984,False
RANDOM_DATASET,2,0.1111111111111111,0.1,0.3,0.022408026755852843,12975,False
RANDOM_DATASET,1,0.1111111111111111,0.15,0.3,0.02813852813852814,13168,True
RANDOM_DATASET,2,0.1111111111111111,0.15,0.3,0.02763902763902764,13144,True
RANDOM_DATASET,1,0.1111111111111111,0.15,0.3,0.028648014742837995,12996,False
RANDOM_DATASET,2,0.1111111111111111,0.15,0.3,0.02797788574300553,12971,False
RANDOM_DATASET,1,0.1111111111111111,0.15,0.3,0.030343007915567283,13063,True
RANDOM_DATASET,2,0.1111111111111111,0.15,0.3,0.03017810026385224,13047,True
RANDOM_DATASET,1,0.1111111111111111,0.15,0.3,0.04250373567989374,12861,False
RANDOM_DATASET,2,0.1111111111111111,0.15,0.3,0.04084343350489789,12833,False
RANDOM_DATASET,1,0.1111111111111111,0.15,0.3,0.03210857332009268,13226,True
RANDOM_DATASET,2,0.1111111111111111,0.15,0.3,0.031777557100297914,13205,True
RANDOM_DATASET,1,0.1111111111111111,0.15,0.3,0.034911444141689375,13160,False
RANDOM_DATASET,2,0.1111111111111111,0.15,0.3,0.03371934604904632,13123,False
